Variable,Label,Value Coding,,,,,,
174,R19,Eastern Sub-Saharan Africa,,,,,,
32,R2,Central Asia,,,,,,
192,R20,Southern Sub-Saharan Africa,,,,,,
199,R21,Western Sub-Saharan Africa,,,,,,
5,R3,East Asia,,,,,,
159,R4,South Asia,,,,,,
9,R5,Southeast Asia,,,,,,
70,R6,Australasia,,,,,,
104,R7,Caribbean,,,,,,
42,R8,Central Europe,,,,,,
56,R9,Eastern Europe,,,,,,
52,ROU,Romania,,,,,,
62,RUS,Russia,,,,,,
185,RWA,Rwanda,,,,,,
64,S1,High-income,,,,,,
31,S2,"Central Europe, Eastern Europe, and Central Asia",,,,,,
166,S3,Sub-Saharan Africa,,,,,,
137,S4,North Africa and Middle East,,,,,,
158,S5,South Asia,,,,,,
4,S6,"Southeast Asia, East Asia, and Oceania",,,,,,
103,S7,Latin America and Caribbean,,,,,,
152,SAU,Saudi Arabia,,,,,,
522,SDN,Sudan,,,,,,
216,SEN,Senegal,,,,,,
69,SGP,Singapore,,,,,,
28,SLB,Solomon Islands,,,,,,
217,SLE,Sierra Leone,,,,,,
127,SLV,El Salvador,,,,,,
187,SOM,Somalia,,,,,,
53,SRB,Serbia,,,,,,
435,SSD,South Sudan,,,,,,
215,STP,Sao Tome and Principe,,,,,,
118,SUR,Suriname,,,,,,
54,SVK,Slovakia,,,,,,
55,SVN,Slovenia,,,,,,
93,SWE,Sweden,,,,,,
197,SWZ,Swaziland,,,,,,
186,SYC,Seychelles,,,,,,
153,SYR,Syria,,,,,,
204,TCD,Chad,,,,,,
218,TGO,Togo,,,,,,
18,THA,Thailand,,,,,,
39,TJK,Tajikistan,,,,,,
40,TKM,Turkmenistan,,,,,,
19,TLS,Timor-Leste,,,,,,
29,TON,Tonga,,,,,,
119,TTO,Trinidad and Tobago,,,,,,
154,TUN,Tunisia,,,,,,
155,TUR,Turkey,,,,,,
8,TWN,Taiwan,,,,,,
189,TZA,Tanzania,,,,,,
190,UGA,Uganda,,,,,,
63,UKR,Ukraine,,,,,,
99,URY,Uruguay,,,,,,
102,USA,United States,,,,,,
41,UZB,Uzbekistan,,,,,,
117,VCT,Saint Vincent and the Grenadines,,,,,,
133,VEN,Venezuela,,,,,,
20,VNM,Vietnam,,,,,,
30,VUT,Vanuatu,,,,,,
27,WSM,Samoa,,,,,,
157,YEM,Yemen,,,,,,
196,ZAF,South Africa,,,,,,
191,ZMB,Zambia,,,,,,
198,ZWE,Zimbabwe,,,,,,
